"province_name","district","year","week","weekly_dengue_cases","weekly_diarrhea_cases","population","rainsum","meantemperature","max_temperature","min_temperature","rainsum_std"
"15 Xekong",15,2021,37,8,47,131836,120.7,26.4142857142857,28.8857142857143,23.8857142857143,1.39642995771019
"15 Xekong",15,2021,38,2,40,131836,37.9,28.4142857142857,33.0285714285714,23.7285714285714,0.0620667202300087
"15 Xekong",15,2021,39,11,43,131836,124.2,27.7857142857143,32.2142857142857,23.3,1.45283420084039
"15 Xekong",15,2021,40,3,56,131836,35.3,27.9571428571429,32.2714285714286,23.5857142857143,0.0201664253332881
"15 Xekong",15,2021,41,7,59,131836,65.6,26.5142857142857,29.7285714285714,23.2285714285714,0.508466015860455
"15 Xekong",15,2021,42,1,41,131836,101.6,25.9857142857143,29.2428571428571,22.7,1.08862394519966
"15 Xekong",15,2021,43,5,41,131836,21.6,26.1571428571429,31,21.2142857142857,-0.200615897776355
"15 Xekong",15,2021,44,2,16,131836,18.6,28.2714285714286,34,22.5,-0.248962391887956
"15 Xekong",15,2021,45,1,11,131836,6,27.9,33.6571428571429,22.0857142857143,-0.452017667156679
"15 Xekong",15,2021,46,0,13,131836,2.9,26.3142857142857,31.4428571428571,21.1285714285714,-0.501975711072
"15 Xekong",15,2021,47,1,4,131836,0,27.2571428571429,33.4,21.0857142857143,-0.54871065537988
"15 Xekong",15,2021,48,1,7,131836,0,25.0285714285714,30.4142857142857,19.6285714285714,-0.54871065537988
"15 Xekong",15,2021,49,3,5,131836,0,21.9142857142857,29.4,14.4142857142857,-0.54871065537988
"15 Xekong",15,2021,50,0,15,131836,0,23.9571428571429,31.7285714285714,16.1571428571429,-0.54871065537988
"15 Xekong",15,2021,51,4,9,131836,0,23.8714285714286,29.7142857142857,17.9857142857143,-0.54871065537988
"15 Xekong",15,2021,52,0,12,131836,12.6,25.3714285714286,31.2285714285714,19.4571428571429,-0.345655380111157
"15 Xekong",15,2021,53,0,0,131836,0,24.35,31.5,17.15,-0.54871065537988
"15 Xekong",15,2022,1,0,20,134283,0,24.3,32.0166666666667,16.55,-0.54871065537988
"15 Xekong",15,2022,2,2,29,134283,0,24.6142857142857,33.0857142857143,16.1142857142857,-0.54871065537988
"15 Xekong",15,2022,3,0,29,134283,0,23.8142857142857,32.1714285714286,15.4142857142857,-0.54871065537988
"15 Xekong",15,2022,4,1,19,134283,1.4,25.4571428571429,32.9857142857143,17.8714285714286,-0.5261489581278
"15 Xekong",15,2022,5,0,26,134283,0,25.5428571428571,33.2428571428571,17.8,-0.54871065537988
"15 Xekong",15,2022,6,1,23,134283,0,26.9857142857143,34.7428571428571,19.1857142857143,-0.54871065537988
"15 Xekong",15,2022,7,2,46,134283,2.3,27.7285714285714,34.2571428571429,21.1857142857143,-0.51164500989432
"15 Xekong",15,2022,8,3,35,134283,13,46.1285714285714,72.8,19.4142857142857,-0.339209180896277
"15 Xekong",15,2022,9,5,49,134283,0,27.2714285714286,35.2428571428571,19.2428571428571,-0.54871065537988
"15 Xekong",15,2022,10,3,39,134283,0.2,29.3714285714286,36.9571428571429,21.7428571428571,-0.54548755577244
"15 Xekong",15,2022,11,4,29,134283,0,29.7,36.9857142857143,22.3857142857143,-0.54871065537988
"15 Xekong",15,2022,12,2,30,134283,NA,28.8428571428571,34,23.6571428571429,NA
"15 Xekong",15,2022,13,1,46,134283,28.9,29.0285714285714,35.0428571428571,22.9571428571429,-0.0829727621047934
"15 Xekong",15,2022,14,1,36,134283,14.4,25.6428571428571,30.8428571428571,20.4142857142857,-0.316647483644197
"15 Xekong",15,2022,15,0,37,134283,0,27.5571428571429,33.1285714285714,21.9571428571429,-0.54871065537988
"15 Xekong",15,2022,16,1,54,134283,5,29.3285714285714,35.3857142857143,23.2428571428571,-0.468133165193879
"15 Xekong",15,2022,17,4,51,134283,16,30.4,36.6714285714286,24.0857142857143,-0.290862686784676
"15 Xekong",15,2022,18,5,40,134283,26.4,27.6571428571429,32.2142857142857,23.0571428571429,-0.123261507197794
"15 Xekong",15,2022,19,13,18,134283,46.4,28.6857142857143,33.2857142857143,24,0.199048453546211
"15 Xekong",15,2022,20,19,24,134283,55.6,27.9142857142857,31.8571428571429,23.9,0.347311035488453
"15 Xekong",15,2022,21,26,11,134283,50.1,27.6285714285714,31.3571428571429,23.8714285714286,0.258675796283852
"15 Xekong",15,2022,22,37,9,134283,19.4,27.6142857142857,31.0714285714286,24.1142857142857,-0.236069993458196
"15 Xekong",15,2022,23,64,25,134283,39.4,27.9142857142857,31.8285714285714,23.9571428571429,0.0862399672858091
"15 Xekong",15,2022,24,83,30,134283,9.4,29.0142857142857,33.4714285714286,24.5,-0.397224973830198
